,País,Ano,Quantidade,Valor
633,Eslovênia,2017,0,0
634,Eslováquia,2017,21424,64828
635,Espanha,2017,7240535,19834451
636,Estados Unidos,2017,1372347,4110641
637,França,2017,5921728,25280255
638,Geórgia,2017,0,0
639,"Geórgia do Sul e Sandwich do Sul, Ilhas",2017,0,0
640,Grécia,2017,40775,139486
641,Hong Kong,2017,0,0
642,Hungria,2017,23813,168353
643,Indonésia,2017,0,0
644,Irlanda,2017,0,0
645,Israel,2017,37302,120463
646,Itália,2017,11538990,33707111
647,Japão,2017,0,0
648,Iugoslávia,2017,0,0
649,Líbano,2017,12737,93480
650,Luxemburgo,2017,0,0
651,Macedônia,2017,0,0
652,Marrocos,2017,0,0
653,México,2017,0,0
654,Moldávia,2017,0,0
655,Montenegro,2017,0,0
656,Noruega,2017,5,27
657,Nova Zelândia,2017,31379,248412
658,Países Baixos (Holanda),2017,0,0
659,Panamá,2017,0,0
660,Peru,2017,0,0
661,Porto Rico,2017,0,0
662,Portugal,2017,17345709,45032247
663,Reino Unido,2017,16,1033
664,Republica Dominicana,2017,0,0
665,Romênia,2017,18509,52150
666,Rússia,2017,0,0
667,San Marino,2017,0,0
668,Sérvia,2017,0,0
669,Síria,2017,398,269
670,Suazilândia,2017,0,0
671,Suíça,2017,138,2873
672,"Tcheca, República",2017,0,0
673,Tunísia,2017,0,0
674,Turquia,2017,0,0
675,Ucrânia,2017,865,931
676,Uruguai,2017,5009098,7751966
677,Não consta na tabela,2017,0,0
678,Não declarados,2017,0,0
679,Outros,2017,0,0
680,Africa do Sul,2018,1127053,3574371
681,Alemanha,2018,142971,516975
682,Argélia,2018,0,0
683,Arábia Saudita,2018,563,3249
684,Argentina,2018,15221318,52817642
685,Armênia,2018,0,0
686,Austrália,2018,3518,21664
687,Áustria,2018,513995,1567866
688,Bermudas,2018,0,0
689,Bélgica,2018,163,1201
690,Bolívia,2018,0,0
691,Bósnia-Herzegovina,2018,0,0
692,Brasil,2018,18040,121806
693,Bulgária,2018,16166,17550
694,Canada,2018,301,17418
695,Chile,2018,51104825,144731210
696,China,2018,5,472
697,"Coreia do Sul, República",2018,0,0
698,Croácia,2018,0,0
699,Cuba,2018,0,0
700,Emirados Árabes Unidos,2018,0,0
701,Eslovênia,2018,20976,68521
702,Eslováquia,2018,10800,17938
703,Espanha,2018,5595268,19353631
704,Estados Unidos,2018,548655,2584781
705,França,2018,4653789,22688105
706,Geórgia,2018,8164,20416
707,"Geórgia do Sul e Sandwich do Sul, Ilhas",2018,0,0
708,Grécia,2018,41601,135185
709,Hong Kong,2018,0,0
710,Hungria,2018,23742,113405
711,Indonésia,2018,36,210
712,Irlanda,2018,107,954
